Median Houses  Prices 4th Quarter 2020,,,,,,,,Change %,Change %
WIMBLEDON HEIGHTS,447500,405000,465000,420000,481500,8,23,7.6,14.6
WINCHELSEA,435000,471300,480000,492500,451300,20,42,3.7,-8.4
WINDSOR,1670000,1465000,1180000,1275000,1365000,18,53,-18.3,7.1
WINTER VALLEY,440000,485000,457500,455000,475000,15,53,8.0,4.4
WODONGA,353500,360000,340000,345000,350000,127,404,-1.0,1.4
WOLLERT,573300,588000,576500,570000,596300,214,575,4.0,4.6
WONGA PARK,1685000,1075000,890000,910000,1176000,5,19,-30.2,29.2
WONTHAGGI,401500,385000,367500,390000,419000,39,111,4.4,7.4
WOODEND,717500,661300,705000,796000,860000,33,86,19.9,8.0
WOOLAMAI WATERS,512500,575000,455000,565800,642000,25,69,25.3,13.5
WOORI YALLOCK,570000,552200,525000,570000,600000,13,53,5.3,5.3
WURRUK,245000,180000,235000,260000,293000,4,13,NA,12.7
WY YUNG,311000,315000,380000,387500,365000,11,32,17.4,-5.8
WYCHEPROOF,100000,132500,115000,101500,150800,2,14,50.8,48.5
WYNDHAM VALE,478800,471000,476200,485600,501000,93,279,4.6,3.2
YALLAMBIE,878000,857000,830000,813500,823500,12,28,-6.2,1.2
YALLOURN NORTH,213000,150000,200500,212500,245000,11,32,15.0,15.3
YARRA GLEN,703000,755500,640000,723000,725000,21,41,3.1,0.3
YARRA JUNCTION,580000,540000,602500,600000,629000,10,41,8.4,4.8
YARRAGON,430000,425000,375000,395000,468000,11,30,8.8,18.5
YARRAM,249800,259000,247500,241000,300000,12,49,20.1,24.5
YARRAVILLE,986000,952500,1050000,970100,1082500,76,183,9.8,11.6
YARRAWONGA,389800,398000,452500,482500,457500,54,161,17.4,-5.2
YEA,420000,395000,420000,495000,496900,8,30,18.3,0.4
YINNAR,223000,295000,374000,365000,270000,5,14,21.1,-26.0
"^ means there were fewer than 10 sales for the quarter* means there were no sales for the quarter and the first non-zero figure is carried forwardNA means insufficent data was available to create the percentage change ",,,,,,,,,
