Suburb,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Postcode,Average income,Lat,Lng
KILSYTH SOUTH,520000.0,520000.0,501000.0,542500.0,575000.0,676000.0,738000.0,845000.0,826000.0,761500.0,848000.0,3137,54327.7988278914,-37.82962379999999,145.31158430000002
KINGS PARK,330000.0,330000.0,324000.0,315000.0,325000.0,355000.0,415000.0,532500.0,550000.0,510000.0,537500.0,3021,42223.78227998957,-37.734,144.77200000000002
KINGSBURY,475000.0,475000.0,437500.0,470000.0,502500.0,560000.0,610000.0,731000.0,730000.0,660000.0,700500.0,3083,50204.823085751756,-37.715,145.034
KINGSVILLE,599500.0,599500.0,597500.0,635000.0,703500.0,785000.0,925000.0,1020000.0,990000.0,1010000.0,875000.0,3012,57534.41704117576,-37.809,144.878
KNOXFIELD,480000.0,480000.0,465000.0,500000.0,580000.0,681000.0,740000.0,870000.0,815000.0,760000.0,829000.0,3180,52673.77206363042,-37.891,145.248
KOO WEE RUP,334500.0,334500.0,320000.0,315000.0,335000.0,345000.0,400000.0,450000.0,510000.0,550000.0,510000.0,3981,51734.976358503875,-38.198,145.489
KOONDROOK,150000.0,150000.0,165000.0,147500.0,155000.0,198500.0,165000.0,247500.0,268000.0,212500.0,215000.0,3580,36913.83535528596,-35.633333,144.116667
KOROIT,266000.0,266000.0,290000.0,275000.0,300000.0,296000.0,294000.0,325000.0,349000.0,345000.0,341000.0,3282,48270.618125,-38.2960425,142.3553505
KORUMBURRA,237500.0,237500.0,240000.0,236000.0,222500.0,262500.0,257500.0,292000.0,317500.0,319000.0,378000.0,3950,46151.56849570735,-38.43783639999999,145.81508540000002
KURUNJANG,300000.0,300000.0,281000.0,287000.0,280000.0,289500.0,310000.0,370000.0,435500.0,420500.0,440000.0,3337,50699.360244798045,-37.672,144.585
KYNETON,370000.0,370000.0,370000.0,369000.0,400000.0,425500.0,455000.0,495000.0,550000.0,595000.0,620000.0,3444,55175.992549518436,-37.233333,144.45
LAKE BOGA,212500.0,212500.0,200000.0,200000.0,143500.0,245000.0,222500.0,182500.0,220000.0,239000.0,211500.0,3584,40249.98969072165,-35.4334504,143.62112969999998
LAKE GARDENS,400500.0,400500.0,385000.0,445000.0,445000.0,461000.0,485000.0,461500.0,575000.0,552500.0,635000.0,3355,46551.00994457124,-37.546,143.82
LAKE TYERS BEACH,285000.0,285000.0,274000.0,270000.0,354000.0,330000.0,268500.0,362500.0,300000.0,357500.0,400000.0,3909,42403.3870967742,-37.8606804,148.0669106
LAKE WENDOUREE,627500.0,627500.0,545000.0,634000.0,650000.0,685000.0,700000.0,790000.0,775000.0,836500.0,995000.0,3350,56145.194797098164,-37.549,143.847
LAKES ENTRANCE,300000.0,300000.0,251500.0,269500.0,254000.0,255500.0,280000.0,281500.0,328000.0,310000.0,320000.0,3909,42403.3870967742,-37.8511185,147.995821
LALOR,380000.0,380000.0,360500.0,365000.0,385000.0,445000.0,499500.0,625500.0,625000.0,590500.0,627500.0,3075,46793.24074569619,-37.6655588,145.0165638
LANCEFIELD,321000.0,321000.0,315000.0,377500.0,362000.0,360000.0,360000.0,415000.0,456000.0,500000.0,510000.0,3435,57052.75737898465,-37.2769748,144.728396
LANGWARRIN,387500.0,387500.0,375000.0,385000.0,420000.0,450000.0,503000.0,600000.0,642500.0,617500.0,644000.0,3910,56846.144751693006,-38.1521755,145.19101750000002
LARA,327500.0,327500.0,335000.0,350000.0,340000.0,348000.0,355000.0,430000.0,515000.0,495000.0,552500.0,3212,58819.0911413099,-38.0229202,144.3964232
LAUNCHING PLACE,343500.0,343500.0,340000.0,330000.0,337500.0,366000.0,435000.0,490000.0,531000.0,554000.0,520000.0,3139,53574.532510570214,-37.774,145.588
LEARMONTH,260000.0,260000.0,245000.0,220000.0,253500.0,222500.0,250000.0,315000.0,327000.0,331000.0,307000.0,3352,55482.194194603435,-37.4221835,143.71209319999997
LENEVA,362000.0,362000.0,382000.0,361500.0,372500.0,370500.0,376000.0,397500.0,387500.0,426000.0,455000.0,3691,54142.68248407644,-36.23307930000001,146.8374363
LEONGATHA,282500.0,282500.0,289000.0,300000.0,295500.0,305000.0,305000.0,320000.0,360000.0,367000.0,386000.0,3953,47187.783304867626,-38.4740327,145.94366630000002
LEOPOLD,340000.0,340000.0,350000.0,360000.0,366500.0,365000.0,407000.0,447000.0,500500.0,510000.0,540000.0,3224,51282.043122139235,-38.19444379999999,144.4670924
LILYDALE,456000.0,456000.0,420000.0,469000.0,480000.0,534000.0,633500.0,710500.0,708000.0,680000.0,708500.0,3140,56071.73680669038,-37.758,145.35
LISMORE,145000.0,145000.0,132500.0,110000.0,109000.0,115000.0,141500.0,155000.0,132500.0,144500.0,237500.0,3324,47702.37777777779,-37.9552943,143.34945380000002
LOCH SPORT,165000.0,165000.0,165000.0,166000.0,153500.0,145000.0,178000.0,182000.0,230000.0,244000.0,220000.0,3851,49494.91379992092,-38.0739783,147.5419531
LONG GULLY,220000.0,220000.0,220000.0,230000.0,255000.0,244000.0,240000.0,257000.0,269000.0,280000.0,269500.0,3550,52519.36090651558,-36.74256829999999,144.256582
LORNE,840000.0,840000.0,800000.0,840000.0,815000.0,895000.0,765000.0,1150000.0,1275000.0,1295000.0,1625000.0,3232,61779.41869398207,-38.5366556,143.97154840000002
LOVELY BANKS,385500.0,385500.0,402000.0,360500.0,406500.0,388500.0,470000.0,460000.0,525000.0,570000.0,445000.0,3213,60454.62631027254,-38.066666999999995,144.333333
LOWER PLENTY,587500.0,587500.0,615000.0,680500.0,675000.0,770000.0,900000.0,980000.0,1055000.0,905000.0,1491500.0,3093,85435.93790064103,-37.734,145.116
LUCKNOW,247500.0,247500.0,200000.0,235000.0,229000.0,230000.0,244500.0,261500.0,280000.0,275000.0,502500.0,3875,46350.594813614254,-37.8115088,147.6779106
LYNBROOK,424500.0,424500.0,415000.0,430000.0,460000.0,500000.0,542500.0,595000.0,640000.0,623000.0,617500.0,3975,53076.151278716956,-38.05,145.252
MADDINGLEY,300000.0,300000.0,308000.0,316500.0,320000.0,332500.0,346000.0,395000.0,442000.0,460000.0,515000.0,3340,57808.90129950495,-37.6837782,144.4089115
MAFFRA,230000.0,230000.0,235000.0,229000.0,215000.0,230000.0,258000.0,251500.0,261500.0,255000.0,293000.0,3860,49405.25751179538,-37.9619053,146.9886238
MAIDEN GULLY,408500.0,408500.0,422500.0,440000.0,415000.0,430000.0,477000.0,471000.0,495500.0,512500.0,480000.0,3551,54901.89786336059,-36.74299999999999,144.209
MAIDSTONE,540000.0,540000.0,499000.0,535000.0,587500.0,630000.0,694000.0,825000.0,800000.0,779000.0,715000.0,3012,57534.41704117576,-37.783,144.878
MALDON,267500.0,267500.0,272500.0,315000.0,325000.0,339000.0,395000.0,426500.0,420000.0,510000.0,395000.0,3463,45258.19575113808,-36.9980464,144.06859880000002
MALLACOOTA,263000.0,263000.0,267500.0,285000.0,285000.0,288500.0,325000.0,345000.0,290000.0,406500.0,402500.0,3892,43863.572621035055,-37.55,149.75
MALVERN,1542500.0,1542500.0,1550000.0,1508500.0,1946000.0,2230000.0,2328500.0,2750000.0,2661000.0,2550000.0,2355000.0,3144,128720.09050334738,-37.857243200000006,145.0341642
MALVERN EAST,1120000.0,1120000.0,1039000.0,1200000.0,1380000.0,1610000.0,1729000.0,1838500.0,1900000.0,1770000.0,1610000.0,3145,94029.07313239011,-37.877311600000006,145.059272
MANANGATANG,40000.0,40000.0,78000.0,58500.0,64000.0,42500.0,44500.0,40000.0,82000.0,97000.0,110000.0,3546,44640.96183206107,-35.044592,142.8825176
MANIFOLD HEIGHTS,449000.0,449000.0,425000.0,532500.0,489000.0,489500.0,620000.0,721500.0,785500.0,715000.0,1437500.0,3218,73394.2321959339,-38.14,144.33
MANOR LAKES,360000.0,360000.0,345000.0,340500.0,360000.0,385000.0,417500.0,490000.0,526000.0,535000.0,555000.0,3024,53172.650045330905,-37.87339860000001,144.58208280000002
MANSFIELD,301500.0,301500.0,315000.0,364000.0,347000.0,367500.0,359000.0,385000.0,430000.0,456000.0,394000.0,3722,46973.548076923085,-37.062528799999995,146.0821493
MARENGO,502500.0,502500.0,450000.0,750000.0,382500.0,577500.0,599000.0,670000.0,597500.0,687500.0,810000.0,3233,43456.75768667643,-38.776140999999996,143.6583166
MARIBYRNONG,645000.0,645000.0,646000.0,714000.0,750500.0,837500.0,940000.0,1056000.0,1028500.0,987500.0,955000.0,3032,66868.51338274655,-37.7695602,144.8820803
MARSHALL,322500.0,322500.0,365000.0,360000.0,382500.0,377000.0,400000.0,430000.0,468000.0,486500.0,465000.0,3216,55101.450297268566,-38.20248170000001,144.36038059999998
MARYBOROUGH,180000.0,180000.0,184000.0,194000.0,200000.0,192500.0,206500.0,194000.0,229500.0,235500.0,245000.0,3465,41476.771390074115,-37.0473301,143.7446068
MCCRAE,623000.0,623000.0,555000.0,530000.0,535000.0,597500.0,689000.0,775000.0,847500.0,795000.0,770000.0,3938,53229.03715170278,-38.351,144.922
MCKENZIE HILL,394000.0,394000.0,465000.0,397000.0,140000.0,429500.0,475000.0,471500.0,495000.0,536500.0,538000.0,3451,49471.052359882015,-37.0686692,144.18018519999998
MCKINNON,925000.0,925000.0,944000.0,1025000.0,1220000.0,1500000.0,1657500.0,1720000.0,1555000.0,1525000.0,1875000.0,3204,69608.71432882361,-37.91,145.039
MEADOW HEIGHTS,321500.0,321500.0,315000.0,317000.0,322500.0,350500.0,370000.0,451000.0,510000.0,472500.0,481500.0,3048,40304.68164583627,-37.65,144.922
MELTON SOUTH,247000.0,247000.0,230000.0,230000.0,238000.0,260000.0,275500.0,377000.0,417000.0,390000.0,400500.0,3338,51267.34722627737,-37.703056,144.571944
MELTON WEST,300000.0,300000.0,283000.0,285500.0,290000.0,295000.0,330000.0,409000.0,453000.0,424000.0,475000.0,3337,50699.360244798045,-37.68298,144.5500157
MENTONE,692500.0,692500.0,665000.0,705000.0,810000.0,950000.0,982500.0,1097500.0,1080000.0,1028000.0,972500.0,3194,65775.87359802602,-37.981227600000004,145.0647654
MERBEIN,157000.0,157000.0,142500.0,140500.0,167000.0,180000.0,170000.0,183500.0,180000.0,210000.0,198500.0,3505,45336.5236460717,-34.161333899999995,142.0475029
MERNDA,397000.0,397000.0,374500.0,375000.0,370000.0,410000.0,430000.0,525500.0,573500.0,552000.0,535000.0,3754,56685.66268206111,-37.589279499999996,145.103791
METUNG,267500.0,267500.0,350000.0,337500.0,287500.0,299000.0,360000.0,347500.0,371500.0,425000.0,450000.0,3904,44301.08333333334,-37.883333,147.85
MIDDLE PARK,1345000.0,1345000.0,1420500.0,1587500.0,2125000.0,2317000.0,2238500.0,2370000.0,2650000.0,2705000.0,3555000.0,3206,142702.30460978005,-37.851944,144.963056
MILDURA,222000.0,222000.0,225000.0,225500.0,245000.0,252000.0,260000.0,264000.0,281500.0,310000.0,317500.0,3500,48050.63302752293,-34.2080167,142.1245535
MILL PARK,410000.0,410000.0,405000.0,408000.0,430500.0,480000.0,560000.0,668500.0,657000.0,654000.0,681000.0,3082,51548.051746515426,-37.6703725,145.071113
MILLGROVE,235000.0,235000.0,235000.0,245000.0,260000.0,275000.0,293500.0,343000.0,411000.0,415000.0,440000.0,3799,45760.171794871785,-37.744848100000006,145.65070390000002
MINERS REST,339000.0,339000.0,325000.0,330000.0,327500.0,335000.0,334000.0,370000.0,400000.0,428000.0,434000.0,3352,55482.194194603435,-37.4717252,143.7911684
MINYIP,82500.0,82500.0,81000.0,73500.0,95000.0,93000.0,82500.0,94000.0,81000.0,114500.0,95000.0,3392,45943.84,-36.45773079999999,142.5942441
MITCHAM,595000.0,595000.0,584500.0,650000.0,730000.0,886000.0,941000.0,1070000.0,1000000.0,942000.0,1085500.0,3132,61677.3604517611,-37.8163579,145.1936683
MITCHELL PARK,247500.0,247500.0,270000.0,267000.0,267500.0,260000.0,259000.0,263000.0,304500.0,313000.0,325000.0,3355,46551.00994457124,-37.5089391,143.77479509999998
MONBULK,392500.0,392500.0,380000.0,395000.0,425000.0,471500.0,521500.0,608000.0,650000.0,630000.0,633500.0,3793,51816.96175637394,-37.878,145.411
MONT ALBERT NORTH,850500.0,850500.0,780000.0,995000.0,1100000.0,1400000.0,1490000.0,1565000.0,1435000.0,1380000.0,1720000.0,3129,60832.491593427585,-37.808056,145.113889
MONTMORENCY,560000.0,560000.0,561000.0,570000.0,614000.0,732000.0,780500.0,890000.0,926000.0,856000.0,904500.0,3094,62379.07684060043,-37.719,145.126
MONTROSE,435000.0,435000.0,426000.0,445000.0,476500.0,559000.0,625000.0,700500.0,737500.0,707500.0,711000.0,3765,57772.329665071775,-37.81,145.343
MOONEE PONDS,780500.0,780500.0,775000.0,830500.0,920000.0,1006000.0,1110500.0,1310000.0,1360000.0,1300000.0,1300000.0,3039,77379.60488058152,-37.766546399999996,144.9195584
MOORABBIN,657000.0,657000.0,631000.0,682000.0,768000.0,855000.0,980000.0,1160000.0,1127500.0,1050000.0,1211000.0,3189,61261.72713529856,-37.941889700000004,145.0601819
MOOROOLBARK,435000.0,435000.0,425000.0,440000.0,465000.0,558500.0,620000.0,726000.0,720000.0,670000.0,710500.0,3138,54868.03831019378,-37.785,145.315
MOOROOPNA,215000.0,215000.0,217500.0,207500.0,215000.0,230000.0,215500.0,225000.0,230000.0,249000.0,265000.0,3629,43880.74707543364,-36.383333,145.35
MORDIALLOC,660000.0,660000.0,642500.0,680000.0,755000.0,850000.0,933000.0,1120000.0,1046500.0,1010000.0,1390000.0,3195,68495.18667730353,-37.999541799999996,145.0940302
MORNINGTON,525000.0,525000.0,501500.0,525000.0,558000.0,641000.0,745000.0,800000.0,850000.0,800000.0,825000.0,3931,58306.18727482836,-38.228,145.062
MORTLAKE,146000.0,146000.0,152000.0,129500.0,152500.0,120000.0,152000.0,170000.0,165000.0,164000.0,160000.0,3272,42857.21641791045,-38.07552159999999,142.8100364
MORWELL,158500.0,158500.0,150500.0,160000.0,150000.0,150000.0,153000.0,170000.0,167000.0,180000.0,177000.0,3840,51028.486712029786,-38.2275886,146.41461850000002
MOUNT BEAUTY,173000.0,173000.0,140000.0,180000.0,200000.0,189500.0,183000.0,258000.0,267500.0,294000.0,290000.0,3699,40152.47375886525,-36.7358203,147.1768206
MOUNT CLEAR,287000.0,287000.0,305000.0,286000.0,288000.0,322500.0,345000.0,345000.0,379000.0,396500.0,415000.0,3350,56145.194797098164,-37.602,143.868
MOUNT DANDENONG,447500.0,447500.0,476500.0,450000.0,610000.0,612500.0,641000.0,847000.0,647500.0,662000.0,785000.0,3767,56487.060224089626,-37.831111,145.36
MOUNT ELIZA,725000.0,725000.0,680000.0,750000.0,777500.0,832000.0,950000.0,1137500.0,1220000.0,1157500.0,1280000.0,3930,81286.31512641298,-38.189,145.092
MOUNT EVELYN,400000.0,400000.0,393000.0,406000.0,428500.0,493500.0,551000.0,640000.0,671500.0,636000.0,705500.0,3796,55545.65412247692,-37.783,145.385
MOUNT HELEN,355000.0,355000.0,325000.0,344000.0,368000.0,342000.0,355000.0,376000.0,420000.0,418500.0,472500.0,3350,56145.194797098164,-37.629787799999995,143.8834861
MOUNT MACEDON,512500.0,512500.0,543000.0,662500.0,600000.0,635000.0,750000.0,665000.0,859000.0,775000.0,1036000.0,3441,87173.68106312293,-37.4,144.583333
MOUNT MARTHA,690000.0,690000.0,715500.0,727500.0,745000.0,780000.0,965000.0,1050000.0,1202500.0,1252500.0,1230000.0,3934,65990.8113909807,-38.266999999999996,145.018
MOUNT PLEASANT,248500.0,248500.0,259000.0,276500.0,269500.0,293500.0,297500.0,293000.0,350000.0,377500.0,400000.0,3350,56145.194797098164,-37.580999999999996,143.85299999999998
MOUNT WAVERLEY,745000.0,745000.0,733000.0,820000.0,950000.0,1268000.0,1265000.0,1420000.0,1320000.0,1267000.0,1350000.0,3149,60593.26230857142,-37.87523970000001,145.1290575
MULGRAVE,531000.0,531000.0,533000.0,577500.0,627000.0,765500.0,786000.0,900500.0,860000.0,840000.0,928000.0,3170,55510.5358497222,-37.9187107,145.15881399999998
MURCHISON,165000.0,165000.0,183000.0,186000.0,155000.0,165000.0,187000.0,254500.0,225000.0,244500.0,358500.0,3610,44299.79605263158,-36.616667,145.216667
MURRUMBEENA,822000.0,822000.0,785000.0,870000.0,982500.0,1204000.0,1286000.0,1420000.0,1350000.0,1241500.0,1495000.0,3163,63886.935580346544,-37.8978307,145.070895
MURTOA,133000.0,133000.0,108500.0,95000.0,110000.0,91000.0,97500.0,115000.0,110000.0,119000.0,132500.0,3390,46336.97333333334,-36.614450299999994,142.4698649
MYRTLEFORD,219000.0,219000.0,220000.0,220000.0,245000.0,242000.0,270500.0,265000.0,295000.0,315000.0,327500.0,3737,45388.92603888677,-36.5555446,146.7237861
NAGAMBIE,248000.0,248000.0,255000.0,312500.0,378000.0,360500.0,336000.0,330000.0,385000.0,414000.0,425000.0,3608,49494.53388658368,-36.780226299999995,145.15283119999998
NARRE WARREN,364000.0,364000.0,356000.0,370000.0,386000.0,430000.0,487500.0,590000.0,615500.0,590000.0,602500.0,3805,50988.56156889411,-38.026173,145.3067451
NARRE WARREN NORTH,730000.0,730000.0,660000.0,685000.0,822500.0,773000.0,900000.0,1108000.0,1180000.0,1075000.0,1185000.0,3804,72733.01797961075,-37.982,145.314
NARRE WARREN SOUTH,405000.0,405000.0,405000.0,410000.0,440000.0,476000.0,530000.0,620000.0,636500.0,625000.0,643000.0,3805,50988.56156889411,-38.055,145.303
NATHALIA,150000.0,150000.0,205000.0,165000.0,190500.0,178000.0,185000.0,232500.0,210000.0,229000.0,227500.0,3638,43315.863203463196,-36.058333000000005,145.20361100000002
NATIMUK,142500.0,142500.0,116000.0,166000.0,145000.0,161000.0,165500.0,249500.0,158500.0,148500.0,370000.0,3409,44342.614497528826,-36.745831700000004,141.93520149999998
NEERIM SOUTH,260000.0,260000.0,265000.0,340000.0,336500.0,280000.0,330000.0,320000.0,406500.0,394000.0,655000.0,3831,49626.69885277247,-38.016667,145.966667
NELSON,240000.0,240000.0,205000.0,224000.0,203500.0,257500.0,220000.0,249500.0,255000.0,247500.0,210000.0,3292,39821.4537037037,-38.05,141.01666699999998
NERRINA,387000.0,387000.0,467500.0,455000.0,482500.0,522500.0,517500.0,570000.0,575000.0,617500.0,625000.0,3350,56145.194797098164,-37.53300000000001,143.903
NEW GISBORNE,492000.0,492000.0,475000.0,500000.0,510000.0,498000.0,545000.0,625000.0,757500.0,695000.0,715000.0,3438,70069.6098820059,-37.459,144.59799999999998
NEWBOROUGH,186000.0,186000.0,213500.0,213000.0,215000.0,220000.0,224500.0,220000.0,250000.0,256000.0,252000.0,3825,51179.074718323776,-38.1760805,146.2985284
NEWCOMB,275000.0,275000.0,275000.0,280000.0,292000.0,290500.0,310000.0,375000.0,455000.0,435000.0,464000.0,3219,49038.209678894884,-38.17,144.39600000000002
NEWINGTON,290000.0,290000.0,300000.0,320000.0,341000.0,345000.0,372500.0,422500.0,465000.0,495000.0,585000.0,3350,56145.194797098164,-37.565528799999996,143.8264533
NEWLANDS ARM,332000.0,332000.0,325000.0,320000.0,302000.0,332500.0,380000.0,380000.0,367500.0,444000.0,397000.0,3875,46350.594813614254,-37.9277583,147.692083
NEWPORT,680000.0,680000.0,630000.0,695000.0,740000.0,825000.0,950000.0,1080000.0,1060000.0,1055000.0,1010000.0,3015,76194.07730807042,-37.842,144.884
NEWSTEAD,243000.0,243000.0,252000.0,300000.0,297500.0,365000.0,362000.0,420000.0,313000.0,436000.0,409500.0,3462,44621.65568862276,-37.105278000000006,144.065
NEWTOWN (GREATER GEELONG),533000.0,533000.0,527500.0,570000.0,620000.0,642500.0,712500.0,780000.0,843000.0,825000.0,1005000.0,3220,77651.72762194033,-38.15,144.333
NHILL,107000.0,107000.0,110000.0,110000.0,125000.0,128000.0,140000.0,126500.0,149000.0,137000.0,107500.0,3418,48488.517696460716,-36.332798100000005,141.65034609999998
NICHOLS POINT,311500.0,311500.0,232000.0,316500.0,304000.0,370000.0,396000.0,346000.0,470000.0,430000.0,435000.0,3501,53877.38523355098,-34.2076592,142.2018502
NIDDRIE,742500.0,742500.0,666000.0,700000.0,747500.0,832500.0,910000.0,1095000.0,1070000.0,1070000.0,845000.0,3042,61603.53271028037,-37.7392692,144.8864718
NOBLE PARK,410000.0,410000.0,382000.0,400000.0,440000.0,510000.0,600000.0,680000.0,680000.0,629000.0,653000.0,3174,42599.983496771114,-37.9650097,145.1733926
NOBLE PARK NORTH,395000.0,395000.0,370000.0,383000.0,420000.0,491500.0,563000.0,640000.0,660000.0,610000.0,656500.0,3174,42599.983496771114,-37.954525,145.19082849999998
NOOJEE,200000.0,200000.0,206500.0,167000.0,174500.0,290000.0,208000.0,155000.0,255000.0,224000.0,411500.0,3833,36627.37569060773,-37.883333,146.0
NORLANE,203000.0,203000.0,206500.0,202500.0,215000.0,216000.0,236500.0,290000.0,355000.0,349000.0,366500.0,3214,43430.423407407405,-38.092,144.356
NORTH BENDIGO,230000.0,230000.0,267000.0,271000.0,280000.0,286000.0,279000.0,302000.0,310000.0,325000.0,363500.0,3550,52519.36090651558,-36.735963399999996,144.2784231
NORTH GEELONG,292500.0,292500.0,286500.0,277000.0,301000.0,335000.0,338500.0,422000.0,495000.0,500000.0,653500.0,3215,54563.18455870039,-38.1093956,144.3521811
NORTH MELBOURNE,750000.0,750000.0,775000.0,802500.0,832000.0,926000.0,1200000.0,1390000.0,1182500.0,1297500.0,1135000.0,3051,61332.353421859036,-37.799167,144.946667
NORTH WONTHAGGI,287000.0,287000.0,256000.0,230000.0,268500.0,275000.0,259500.0,293000.0,369000.0,389000.0,390000.0,3995,42294.49112097669,-38.6089501,145.59110280000002
NORTHCOTE,780000.0,780000.0,786000.0,818000.0,935000.0,1008500.0,1190000.0,1325000.0,1345000.0,1300000.0,1265000.0,3070,74352.44144852186,-37.769291700000004,144.9990291
NOTTING HILL,525500.0,525500.0,547000.0,566500.0,660000.0,780000.0,872500.0,993000.0,957500.0,875500.0,1527000.0,3168,42544.94414867873,-37.9048347,145.1458611
NUMURKAH,190500.0,190500.0,200500.0,195000.0,215000.0,219000.0,195000.0,219000.0,225000.0,252500.0,232000.0,3636,42130.83248386002,-36.0883415,145.442323
NYAH WEST,70000.0,70000.0,116500.0,94000.0,107500.0,146500.0,130000.0,133500.0,135000.0,85000.0,110000.0,3595,39043.768211920535,-35.1869703,143.35560149999998
OAK PARK,590000.0,590000.0,540000.0,576500.0,626000.0,660000.0,822500.0,872000.0,878500.0,840000.0,703000.0,3046,51742.57556190852,-37.718,144.91899999999998
OAKLEIGH,700000.0,700000.0,645000.0,753500.0,801500.0,1002000.0,1050000.0,1210000.0,1250000.0,1101000.0,990000.0,3166,59685.01294141942,-37.89902360000001,145.0923305
OAKLEIGH EAST,640000.0,640000.0,610000.0,672000.0,820000.0,995000.0,983000.0,1200000.0,992500.0,942000.0,935000.0,3166,59685.01294141942,-37.908526200000004,145.11813830000003
OCEAN GROVE,479000.0,479000.0,465000.0,459000.0,515000.0,516500.0,555000.0,637000.0,690000.0,695000.0,682500.0,3226,58351.7257227576,-38.25,144.51666699999998
OFFICER,396000.0,396000.0,429000.0,342000.0,339000.0,375000.0,440000.0,480000.0,550000.0,550000.0,585000.0,3809,57212.52081342977,-38.0611204,145.415089
OLINDA,520000.0,520000.0,445000.0,496000.0,520000.0,553500.0,620000.0,705000.0,760000.0,748000.0,690000.0,3788,63404.531818181815,-37.855990000000006,145.364357
ORBOST,151500.0,151500.0,150000.0,156000.0,150000.0,145000.0,162500.0,159000.0,165000.0,185500.0,200000.0,3888,43283.728613569314,-37.70282589999999,148.46534690000001
ORMOND,912500.0,912500.0,857500.0,997500.0,1187500.0,1300000.0,1550000.0,1618000.0,1600000.0,1467500.0,1565000.0,3204,69608.71432882361,-37.902081,145.04106919999998
OUYEN,110000.0,110000.0,116500.0,75000.0,77500.0,105500.0,130000.0,130000.0,93000.0,99000.0,114000.0,3490,43033.4793956044,-35.0725808,142.3187749
PAKENHAM,340000.0,340000.0,335000.0,335000.0,350000.0,367000.0,400000.0,470000.0,520000.0,485000.0,520500.0,3810,51073.48248344963,-38.073568,145.4851308
PARADISE BEACH,159500.0,159500.0,212500.0,163500.0,178000.0,188500.0,200000.0,180000.0,199000.0,200000.0,249000.0,3851,49494.91379992092,-38.1992076,147.4033451
PARK ORCHARDS,942500.0,942500.0,953000.0,952500.0,1103000.0,1225000.0,1335000.0,1450000.0,1480000.0,1460000.0,1720000.0,3114,90594.23179326547,-37.77800000000001,145.214
PARKDALE,756000.0,756000.0,677000.0,760000.0,860000.0,965000.0,1100000.0,1300000.0,1245000.0,1155000.0,1200500.0,3195,68495.18667730353,-37.991,145.08
PASCOE VALE,575000.0,575000.0,540000.0,580000.0,655000.0,720000.0,805000.0,891000.0,901000.0,858500.0,920000.0,3044,63219.17031324725,-37.727,144.942
PASCOE VALE SOUTH,612500.0,612500.0,629000.0,645500.0,701000.0,745000.0,840000.0,975000.0,955000.0,950000.0,929500.0,3044,63219.17031324725,-37.7457735,144.9384576
PATTERSON LAKES,625000.0,625000.0,730000.0,645000.0,734000.0,787500.0,810000.0,1021500.0,1022500.0,923000.0,1300000.0,3197,66233.42907227617,-38.074226200000005,145.1431018
PAYNESVILLE,323500.0,323500.0,290000.0,283000.0,300000.0,302500.0,308000.0,335000.0,353000.0,339000.0,380000.0,3880,44258.59259259259,-37.9112576,147.7123335
PIONEER BAY,197500.0,197500.0,235000.0,200000.0,220000.0,240000.0,216000.0,271500.0,308000.0,310000.0,319000.0,3984,46068.99575163399,-38.3805015,145.55036850000002
PLENTY,730000.0,730000.0,770000.0,773000.0,750000.0,915500.0,935000.0,1145000.0,1350000.0,1301000.0,959000.0,3090,92034.8921800948,-37.669000000000004,145.11700000000002
POINT COOK,445000.0,445000.0,435000.0,450000.0,445000.0,465000.0,505000.0,592000.0,631500.0,640500.0,650000.0,3030,57932.39107001738,-37.9178086,144.7477259
POOWONG,208000.0,208000.0,185000.0,215000.0,218000.0,240000.0,325000.0,286000.0,315000.0,443000.0,285000.0,3988,45075.76875957121,-38.35,145.75
POREPUNKAH,276000.0,276000.0,285000.0,347000.0,280000.0,323000.0,330000.0,447000.0,464500.0,535000.0,467500.0,3740,49528.243440233244,-36.694433000000004,146.9264143
PORT ALBERT,180000.0,180000.0,235000.0,262500.0,190000.0,197500.0,218500.0,270000.0,240000.0,250000.0,461000.0,3971,42120.96184644372,-38.66527800000001,146.688333
PORT FAIRY,380000.0,380000.0,410000.0,400000.0,425000.0,447500.0,473500.0,500000.0,651000.0,630000.0,632500.0,3284,50726.336515513125,-38.3810122,142.22929069999998
PORT FRANKLIN,205000.0,205000.0,232000.0,190000.0,173500.0,277500.0,207500.0,280000.0,257000.0,302500.0,323500.0,3964,39757.444444444445,-38.683333000000005,146.283333
PORT WELSHPOOL,195000.0,195000.0,266000.0,201500.0,244000.0,200000.0,380000.0,247500.0,295000.0,315000.0,365000.0,3965,39105.13829787234,-38.69972200000001,146.464722
PORTARLINGTON,425000.0,425000.0,389000.0,390000.0,414500.0,409000.0,460000.0,515000.0,640000.0,621500.0,619000.0,3223,51295.167619047614,-38.116667,144.65
PORTLAND,236500.0,236500.0,227500.0,235000.0,210000.0,220000.0,220000.0,230000.0,234500.0,267500.0,320000.0,3305,52538.187155457555,-38.360895,141.6041155
PORTLAND NORTH,215000.0,215000.0,226500.0,300000.0,248000.0,330000.0,340000.0,360000.0,367500.0,276000.0,541000.0,3305,52538.187155457555,-38.306808399999994,141.5727929
PORTSEA,1625000.0,1625000.0,1398000.0,1195000.0,1305000.0,1800000.0,1701000.0,1925000.0,2180000.0,1950000.0,2515000.0,3944,115369.54893617019,-38.32,144.713
